time,lat,lon,alt_GND[m],temp[Â°C],v[kmh],v[knts],cours[deg],Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg_s],Gyro_y[deg_s],Gyro_z[deg_s],sat[n]
2025-05-06_13-28-25,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-25,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-25,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-25,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-25,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-25,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-25,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-26,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-26,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-26,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-26,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-26,0,0,0,0,0.0,0.00,0.0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_13-28-26,53.554253333333335,10.020415,0.2,0,0.0,0.00,0.0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_13-28-26,53.554253333333335,10.020415,0.2,0,0.0,0.00,0.0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_13-28-26,53.554253333333335,10.020415,0.2,0,0.0,0.00,0.0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_13-28-26,53.554253333333335,10.020415,0.2,0,0.0,0.00,0.0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_13-28-26,53.554253333333335,10.020415,0.2,0,0.0,0.00,0.0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_13-28-26,53.554253333333335,10.020415,0.2,0,0.0,0.00,0.0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
