time,lat,lon,alt_GND[m],temp[Â°C],v[km/h],v[knts],cours[deg],Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],sat[n]
2025-05-06_14-10-06,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-06,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-06,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-06,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-07,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-07,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-07,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-07,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-07,0,0,0,0,0,0,0,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-07,0,0,0,0,0.0,0.00,341.58,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],0
2025-05-06_14-10-07,53.552076666666665,10.045823333333333,-8.1,0,0.0,0.00,341.58,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_14-10-07,53.552076666666665,10.045823333333333,-8.1,0,0.0,0.00,341.58,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_14-10-07,53.552076666666665,10.045823333333333,-8.1,0,0.0,0.00,341.58,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_14-10-07,53.552076666666665,10.045823333333333,-8.1,0,0.0,0.00,341.58,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_14-10-07,53.552076666666665,10.045823333333333,-8.1,0,0.0,0.00,341.58,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
2025-05-06_14-10-07,53.552076666666665,10.045823333333333,-8.1,0,0.0,0.00,341.58,Acc_x[g],Acc_y[g],Acc_z[g],Gyro_x[deg/s],Gyro_y[deg/s],Gyro_z[deg/s],16
